,Name of Movie,Year of Release,Genre,Rating
440,Who's Afraid of Virginia Woolf?,1966,Drama            ,8.0
441,Il gattopardo,1963,"Drama, History            ",8.0
442,8½,1963,Drama            ,8.0
443,El ángel exterminador,1962,"Drama, Fantasy            ",8.0
444,What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller            ",8.0
445,Sanjuro,1962,"Action, Drama, Thriller            ",8.0
446,Ivanovo detstvo,1962,"Drama, War            ",8.0
447,Såsom i en spegel,1961,Drama            ,8.0
448,The Hustler,1961,"Drama, Sport            ",8.0
449,La dolce vita,1960,"Comedy, Drama            ",8.0
450,Rio Bravo,1959,Western            ,8.0
451,Anatomy of a Murder,1959,"Drama, Mystery            ",8.0
452,Touch of Evil,1958,"Crime, Drama, Film-Noir            ",8.0
453,Sweet Smell of Success,1957,"Drama, Film-Noir            ",8.0
454,The Killing,1956,"Crime, Drama, Film-Noir            ",8.0
455,The Night of the Hunter,1955,"Crime, Drama, Film-Noir            ",8.0
456,La Strada,1954,Drama            ,8.0
457,Stalag 17,1953,"Comedy, Drama, War            ",8.0
458,Roman Holiday,1953,"Comedy, Romance            ",8.0
459,High Noon,1952,"Drama, Thriller, Western            ",8.0
460,Kind Hearts and Coronets,1949,"Comedy, Crime            ",8.0
461,Out of the Past,1947,"Crime, Drama, Film-Noir            ",8.0
462,Roma città aperta,1945,"Drama, Thriller, War            ",8.0
463,Brief Encounter,1945,"Drama, Romance            ",8.0
464,The Maltese Falcon,1941,"Crime, Film-Noir, Mystery            ",8.0
465,The Shop Around the Corner,1940,"Comedy, Drama, Romance            ",8.0
466,Das Cabinet des Dr. Caligari,1920,"Horror, Mystery, Thriller            ",8.0
467,Knives Out,2019,"Comedy, Crime, Drama            ",7.9
468,Manbiki kazoku,2018,"Crime, Drama, Thriller            ",7.9
469,Badhaai ho,2018,"Comedy, Drama            ",7.9
470,Marriage Story,2019,"Drama, Romance            ",7.9
471,Super 30,2019,"Biography, Drama            ",7.9
472,Padman,2018,"Biography, Comedy, Drama            ",7.9
473,Togo,2019,"Adventure, Biography, Drama            ",7.9
474,Airlift,2016,"Action, Drama, History            ",7.9
475,M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport            ",7.9
476,Baby,I 2015,"Action, Crime, Thriller            ",7.9
477,Sing Street,2016,"Comedy, Drama, Music            ",7.9
478,Thor: Ragnarok,2017,"Action, Adventure, Comedy            ",7.9
479,Jojo Rabbit,2019,"Comedy, Drama, War            ",7.9
480,Wonder,I 2017,"Drama, Family            ",7.9
481,Arrival,II 2016,"Drama, Mystery, Sci-Fi            ",7.9
482,Gully Boy,2019,"Drama, Music, Romance            ",7.9
483,Short Term 12,2013,Drama            ,7.9
484,Serbuan maut 2: Berandal,2014,"Action, Crime, Thriller            ",7.9
485,Before Midnight,2013,"Drama, Romance            ",7.9
486,X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi            ",7.9
487,The Batman,2022,"Action, Crime, Drama            ",7.9
488,Bohemian Rhapsody,2018,"Biography, Drama, Music            ",7.9
489,Hoje Eu Quero Voltar Sozinho,2014,"Drama, Romance            ",7.9
490,The Perks of Being a Wallflower,2012,Drama            ,7.9
491,The Artist,I 2011,"Comedy, Drama, Romance            ",7.9
492,Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi            ",7.9
493,Amour,2012,Drama            ,7.9
494,Darbareye Elly,2009,"Drama, Mystery            ",7.9
495,Dev.D,2009,"Comedy, Drama, Romance            ",7.9
496,My Name Is Khan,2010,"Adventure, Drama, Romance            ",7.9
497,Låt den rätte komma in,2008,"Drama, Fantasy, Horror            ",7.9
498,District 9,2009,"Action, Sci-Fi, Thriller            ",7.9
499,The Wrestler,2008,"Drama, Sport            ",7.9
500,Jab We Met,2007,"Comedy, Drama, Romance            ",7.9
501,Boyhood,I 2014,Drama            ,7.9
502,"4 luni, 3 saptamâni si 2 zile",2007,Drama            ,7.9
503,Im Westen nichts Neues,2022,"Action, Drama, War            ",7.9
504,Star Trek,2009,"Action, Adventure, Sci-Fi            ",7.9
505,Dallas Buyers Club,2013,"Biography, Drama            ",7.9
506,In Bruges,2008,"Comedy, Crime, Drama            ",7.9
507,The Man from Earth,2007,"Drama, Fantasy, Mystery            ",7.9
508,Letters from Iwo Jima,2006,"Action, Adventure, Drama            ",7.9
509,Life of Pi,2012,"Adventure, Drama, Fantasy            ",7.9
510,Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy            ",7.9
511,Bin-jip,2004,"Crime, Drama, Romance            ",7.9
512,C.R.A.Z.Y.,2005,"Comedy, Drama            ",7.9
513,Vozvrashchenie,2003,Drama            ,7.9
514,Iron Man,2008,"Action, Adventure, Sci-Fi            ",7.9
515,Shaun of the Dead,2004,"Comedy, Horror            ",7.9
516,Kal Ho Naa Ho,2003,"Comedy, Drama, Musical            ",7.9
517,Gegen die Wand,2004,"Drama, Romance            ",7.9
518,Mystic River,2003,"Crime, Drama, Mystery            ",7.9
519,Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy            ",7.9
520,Ying xiong,2002,"Action, Adventure, Drama            ",7.9
521,Hable con ella,2002,"Drama, Mystery, Romance            ",7.9
522,No Man's Land,I 2001,"Comedy, Drama, War            ",7.9
523,The Bourne Identity,2002,"Action, Mystery, Thriller            ",7.9
524,Nueve reinas,2000,"Crime, Drama, Thriller            ",7.9
525,Children of Men,2006,"Action, Drama, Sci-Fi            ",7.9
526,Wo hu cang long,2000,"Action, Adventure, Drama            ",7.9
527,Almost Famous,2000,"Adventure, Comedy, Drama            ",7.9
528,Dancer in the Dark,2000,"Crime, Drama, Musical            ",7.9
529,Mulholland Dr.,2001,"Drama, Mystery, Thriller            ",7.9
530,Shrek,2001,"Animation, Adventure, Comedy            ",7.9
531,Toy Story 2,1999,"Animation, Adventure, Comedy            ",7.9
532,Titanic,1997,"Drama, Romance            ",7.9
533,Knockin' on Heaven's Door,1997,"Action, Crime, Comedy            ",7.9
534,Boogie Nights,1997,Drama            ,7.9
535,Mimi wo sumaseba,1995,"Animation, Drama, Family            ",7.9
536,Kôkaku Kidôtai,1995,"Animation, Action, Crime            ",7.9
537,Once Were Warriors,1994,"Crime, Drama            ",7.9
538,True Romance,1993,"Crime, Drama, Romance            ",7.9
539,Trois couleurs: Bleu,1993,"Drama, Music, Mystery            ",7.9
540,The Nightmare Before Christmas,1993,"Animation, Family, Fantasy            ",7.9
541,Carlito's Way,1993,"Crime, Drama, Thriller            ",7.9
542,Bound by Honor,1993,"Crime, Drama            ",7.9
543,Edward Scissorhands,1990,"Drama, Fantasy, Romance            ",7.9
544,My Left Foot: The Story of Christy Brown,1989,"Biography, Drama            ",7.9
545,Do the Right Thing,1989,"Comedy, Drama            ",7.9
546,The Untouchables,1987,"Crime, Drama, Thriller            ",7.9
547,Sacrifice,1986,Drama            ,7.9
548,Hannah and Her Sisters,1986,"Comedy, Drama            ",7.9
549,Brazil,1985,"Drama, Sci-Fi            ",7.9
550,This Is Spinal Tap,1984,"Comedy, Music            ",7.9
551,A Christmas Story,1983,"Comedy, Family            ",7.9
552,E.T. the Extra-Terrestrial,1982,"Adventure, Family, Sci-Fi            ",7.9
553,Kagemusha,1980,"Drama, History, War            ",7.9
554,The Blues Brothers,1980,"Action, Adventure, Comedy            ",7.9
555,Manhattan,1979,"Comedy, Drama, Romance            ",7.9
556,All the President's Men,1976,"Drama, History, Thriller            ",7.9
557,Amarcord,1973,"Comedy, Drama            ",7.9
558,Harold and Maude,1971,"Comedy, Drama, Romance            ",7.9
559,Patton,1970,"Biography, Drama, War            ",7.9
560,Il conformista,1970,Drama            ,7.9
561,Le cercle rouge,1970,"Crime, Drama, Thriller            ",7.9
562,The Wild Bunch,1969,"Action, Adventure, Western            ",7.9
563,The Lion in Winter,1968,"Biography, Drama, History            ",7.9
564,In the Heat of the Night,1967,"Drama, Mystery, Thriller            ",7.9
565,In Cold Blood,1967,"Biography, Crime, Drama            ",7.9
566,Doctor Zhivago,1965,"Drama, Romance, War            ",7.9
567,Per un pugno di dollari,1964,"Action, Drama, Western            ",7.9
568,Charade,1963,"Comedy, Mystery, Romance            ",7.9
569,Vivre sa vie: Film en douze tableaux,1962,Drama            ,7.9
570,The Manchurian Candidate,1962,"Drama, Thriller            ",7.9
571,Spartacus,1960,"Adventure, Biography, Drama            ",7.9
572,Hiroshima mon amour,1959,"Drama, Romance            ",7.9
573,Cat on a Hot Tin Roof,1958,Drama            ,7.9
574,Ascenseur pour l'échafaud,1958,"Crime, Drama, Thriller            ",7.9
575,The Ten Commandments,1956,"Adventure, Drama, Family            ",7.9
576,The Searchers,1956,"Adventure, Drama, Western            ",7.9
577,The Big Heat,1953,"Crime, Film-Noir, Thriller            ",7.9
578,A Streetcar Named Desire,1951,Drama            ,7.9
579,Strangers on a Train,1951,"Crime, Drama, Film-Noir            ",7.9
580,In a Lonely Place,1950,"Drama, Film-Noir, Mystery            ",7.9
581,Harvey,1950,"Comedy, Drama, Fantasy            ",7.9
582,Rope,1948,"Crime, Drama, Mystery            ",7.9
583,Miracle on 34th Street,1947,"Comedy, Drama, Family            ",7.9
584,Notorious,1946,"Drama, Film-Noir, Romance            ",7.9
585,The Big Sleep,1946,"Crime, Film-Noir, Mystery            ",7.9
586,La belle et la bête,1946,"Drama, Fantasy, Romance            ",7.9
587,Mildred Pierce,1945,"Crime, Drama, Film-Noir            ",7.9
588,The Lost Weekend,1945,"Drama, Film-Noir            ",7.9
589,Laura,1944,"Drama, Film-Noir, Mystery            ",7.9
590,Arsenic and Old Lace,1944,"Comedy, Crime, Thriller            ",7.9
591,Sullivan's Travels,1941,"Adventure, Comedy, Drama            ",7.9
592,The Philadelphia Story,1940,"Comedy, Romance            ",7.9
593,La règle du jeu,1939,"Comedy, Drama            ",7.9
594,The Adventures of Robin Hood,1938,"Action, Adventure, Romance            ",7.9
595,The Thin Man,1934,"Comedy, Mystery            ",7.9
596,King Kong,1933,"Adventure, Horror, Sci-Fi            ",7.9
597,Bronenosets Potemkin,1925,"Drama, History, Thriller            ",7.9
598,Nosferatu,1922,"Fantasy, Horror            ",7.9
599,The Gentlemen,2019,"Action, Comedy, Crime            ",7.8
600,Hindi Medium,2017,"Comedy, Drama            ",7.8
601,Call Me by Your Name,2017,"Drama, Romance            ",7.8
602,"I, Daniel Blake",2016,Drama            ,7.8
603,Isle of Dogs,2018,"Animation, Adventure, Comedy            ",7.8
604,Dunkirk,2017,"Action, Drama, History            ",7.8
605,Hidden Figures,2016,"Biography, Drama, History            ",7.8
606,Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama            ",7.8
607,Paddington 2,2017,"Adventure, Comedy, Family            ",7.8
608,Manchester by the Sea,2016,Drama            ,7.8
609,Under sandet,2015,"Drama, History, War            ",7.8
610,Rogue One,2016,"Action, Adventure, Sci-Fi            ",7.8
611,Captain Fantastic,2016,"Comedy, Drama            ",7.8
612,Captain America: Civil War,2016,"Action, Adventure, Sci-Fi            ",7.8
613,The Hateful Eight,2015,"Crime, Drama, Mystery            ",7.8
614,Little Women,2019,"Drama, Romance            ",7.8
615,Loving Vincent,2017,"Animation, Biography, Crime            ",7.8
616,Pride,I 2014,"Biography, Comedy, Drama            ",7.8
617,Nightcrawler,2014,"Crime, Drama, Thriller            ",7.8
618,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi            ",7.8
619,The Lunchbox,2013,"Drama, Romance            ",7.8
620,Soshite chichi ni naru,2013,Drama            ,7.8
621,Vicky Donor,2012,"Comedy, Romance            ",7.8
622,Big Hero 6,2014,"Animation, Action, Adventure            ",7.8
623,About Time,I 2013,"Comedy, Drama, Fantasy            ",7.8
624,English Vinglish,2012,"Comedy, Drama, Family            ",7.8
625,La migliore offerta,2013,"Crime, Drama, Mystery            ",7.8
626,Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi            ",7.8
627,Bir Zamanlar Anadolu'da,2011,"Crime, Drama, Thriller            ",7.8
628,Moonrise Kingdom,2012,"Comedy, Drama, Romance            ",7.8
629,How to Train Your Dragon 2,2014,"Animation, Action, Adventure            ",7.8
630,The Big Short,2015,"Biography, Comedy, Drama            ",7.8
631,Ang-ma-reul bo-at-da,2010,"Action, Crime, Thriller            ",7.8
632,The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery            ",7.8
633,Captain Phillips,2013,"Action, Biography, Crime            ",7.8
634,Straight Outta Compton,2015,"Biography, Drama, History            ",7.8
635,The Irishman,2019,"Biography, Crime, Drama            ",7.8
636,The Social Network,2010,"Biography, Drama            ",7.8
637,Un prophète,2009,"Crime, Drama            ",7.8
638,Thirteen Lives,2022,"Action, Adventure, Biography            ",7.8
639,Madeo,2009,"Crime, Drama, Mystery            ",7.8
640,Chugyeokja,2008,"Action, Crime, Drama            ",7.8
641,Moon,2009,"Drama, Mystery, Sci-Fi            ",7.8
642,The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy            ",7.8
643,Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, Mystery, Thriller            ",7.8
644,Män som hatar kvinnor,2009,"Crime, Drama, Mystery            ",7.8
645,Skyfall,2012,"Action, Adventure, Thriller            ",7.8
646,Verdens verste menneske,2021,"Comedy, Drama, Romance            ",7.8
647,The Fighter,I 2010,"Action, Biography, Drama            ",7.8
648,Taken,I 2008,"Action, Crime, Thriller            ",7.8
649,Once,I 2007,"Drama, Music, Romance            ",7.8
650,The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy            ",7.8
651,Changeling,2008,"Biography, Crime, Drama            ",7.8
652,Atonement,2007,"Drama, Mystery, Romance            ",7.8
653,Drive,I 2011,"Action, Drama            ",7.8
654,American Gangster,2007,"Biography, Crime, Drama            ",7.8
655,Avatar,2009,"Action, Adventure, Fantasy            ",7.8
656,Mr. Nobody,2009,"Drama, Fantasy, Romance            ",7.8
657,Apocalypto,2006,"Action, Adventure, Drama            ",7.8
658,The Fall,I 2006,"Adventure, Drama, Fantasy            ",7.8
659,Little Miss Sunshine,2006,"Comedy, Drama            ",7.8
660,Hot Fuzz,2007,"Action, Comedy, Mystery            ",7.8
661,The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance            ",7.8
662,Veer-Zaara,2004,"Drama, Family, Musical            ",7.8
663,Pride & Prejudice,2005,"Drama, Romance            ",7.8
664,The World's Fastest Indian,2005,"Biography, Drama, Sport            ",7.8
665,Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy            ",7.8
666,Serenity,2005,"Action, Adventure, Sci-Fi            ",7.8
667,Crash,I 2004,"Crime, Drama, Thriller            ",7.8
668,Les choristes,2004,"Comedy, Drama, Music            ",7.8
669,Walk the Line,2005,"Biography, Drama, Music            ",7.8
670,The Notebook,2004,"Drama, Romance            ",7.8
671,The Last Samurai,2003,"Action, Drama            ",7.8
672,Diarios de motocicleta,2004,"Adventure, Biography, Drama            ",7.8
673,Lilja 4-ever,2002,"Crime, Drama            ",7.8
674,Sennen joyû,2001,"Animation, Drama, Fantasy            ",7.8
675,Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime            ",7.8
676,Gongdong gyeongbi guyeok JSA,2000,"Action, Drama, Thriller            ",7.8
677,Remember the Titans,2000,"Biography, Drama, Sport            ",7.8
678,Todo sobre mi madre,1999,Drama            ,7.8
679,Cast Away,2000,"Adventure, Drama, Romance            ",7.8
680,The Insider,1999,"Biography, Drama, Thriller            ",7.8
681,October Sky,1999,"Biography, Drama, Family            ",7.8
682,Being John Malkovich,1999,"Comedy, Drama, Fantasy            ",7.8
683,Gattaca,1997,"Drama, Sci-Fi, Thriller            ",7.8
684,Hamlet,1996,Drama            ,7.8
685,Breaking the Waves,1996,Drama            ,7.8
686,Ed Wood,1994,"Biography, Comedy, Drama            ",7.8
687,Tombstone,1993,"Biography, Drama, History            ",7.8
688,The Sandlot,1993,"Comedy, Drama, Family            ",7.8
689,The Remains of the Day,1993,"Drama, Romance            ",7.8
690,Jûbê ninpûchô,1993,"Animation, Action, Adventure            ",7.8
691,The Fugitive,1993,"Action, Crime, Drama            ",7.8
692,A Bronx Tale,1993,"Crime, Drama            ",7.8
693,Batman: Mask of the Phantasm,1993,"Animation, Action, Adventure            ",7.8
694,Boyz n the Hood,1991,"Crime, Drama            ",7.8
695,Misery,1990,"Drama, Thriller            ",7.8
696,Awakenings,1990,"Biography, Drama            ",7.8
697,Majo no takkyûbin,1989,"Animation, Adventure, Family            ",7.8
698,Glory,1989,"Biography, Drama, History            ",7.8
699,Dip huet seung hung,1989,"Action, Crime, Drama            ",7.8
700,Crimes and Misdemeanors,1989,"Comedy, Drama            ",7.8
701,Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi            ",7.8
702,Mississippi Burning,1988,"Crime, Drama, History            ",7.8
703,Predator,1987,"Action, Adventure, Horror            ",7.8
704,Ferris Bueller's Day Off,1986,Comedy            ,7.8
705,The Breakfast Club,1985,"Comedy, Drama            ",7.8
706,The Killing Fields,1984,"Biography, Drama, History            ",7.8
707,Ghostbusters,1984,"Action, Comedy, Fantasy            ",7.8
708,The Right Stuff,1983,"Adventure, Biography, Drama            ",7.8
709,The King of Comedy,1982,"Comedy, Crime, Drama            ",7.8
710,Kramer vs. Kramer,1979,Drama            ,7.8
711,All That Jazz,1979,"Drama, Music, Musical            ",7.8
712,Days of Heaven,1978,"Drama, Romance            ",7.8
713,Dawn of the Dead,1978,"Horror, Thriller            ",7.8
714,The Outlaw Josey Wales,1976,Western            ,7.8
715,The Man Who Would Be King,1975,"Adventure, History, War            ",7.8
716,La montaña sagrada,1973,"Adventure, Drama, Fantasy            ",7.8
717,The Conversation,1974,"Drama, Mystery, Thriller            ",7.8
718,The Day of the Jackal,1973,"Crime, Drama, Thriller            ",7.8
719,Le charme discret de la bourgeoisie,1972,Comedy            ,7.8
720,Cabaret,1972,"Drama, Music, Musical            ",7.8
721,"Aguirre, der Zorn Gottes",1972,"Action, Adventure, Biography            ",7.8
722,Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical            ",7.8
723,Midnight Cowboy,1969,Drama            ,7.8
724,Night of the Living Dead,1968,"Horror, Thriller            ",7.8
725,Guess Who's Coming to Dinner,1967,"Comedy, Drama            ",7.8
726,Les parapluies de Cherbourg,1964,"Drama, Musical, Romance            ",7.8
727,My Fair Lady,1964,"Drama, Family, Musical            ",7.8
728,Mary Poppins,1964,"Comedy, Family, Fantasy            ",7.8
729,The Innocents,1961,Horror            ,7.8
730,L'avventura,1960,"Drama, Mystery, Romance            ",7.8
731,East of Eden,1955,Drama            ,7.8
732,The Day the Earth Stood Still,1951,"Drama, Sci-Fi            ",7.8
733,The Asphalt Jungle,1950,"Crime, Drama, Film-Noir            ",7.8
734,Red River,1948,"Drama, Western            ",7.8
735,To Have and Have Not,1944,"Adventure, Comedy, Film-Noir            ",7.8
736,Gaslight,1944,"Crime, Drama, Mystery            ",7.8
737,Shadow of a Doubt,1943,"Film-Noir, Thriller            ",7.8
738,His Girl Friday,1940,"Comedy, Drama, Romance            ",7.8
739,Stagecoach,1939,"Adventure, Drama, Western            ",7.8
740,You Can't Take It with You,1938,"Comedy, Drama, Romance            ",7.8
741,The Lady Vanishes,1938,"Mystery, Thriller            ",7.8
742,Bringing Up Baby,1938,Comedy            ,7.8
743,A Night at the Opera,1935,"Comedy, Music, Musical            ",7.8
744,Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi            ",7.8
745,Duck Soup,1933,"Comedy, Musical            ",7.8
746,Freaks,1932,"Drama, Horror            ",7.8
747,Frankenstein,1931,"Drama, Horror, Sci-Fi            ",7.8
748,Doragon bôru chô: Burorî,2018,"Animation, Action, Adventure            ",7.7
749,Roma,2018,Drama            ,7.7
750,Deadpool 2,2018,"Action, Adventure, Comedy            ",7.7
751,Sound of Metal,2019,"Drama, Music            ",7.7
752,Wind River,2017,"Crime, Drama, Mystery            ",7.7
753,Forushande,2016,Drama            ,7.7
754,Get Out,I 2017,"Horror, Mystery, Thriller            ",7.7
755,Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller            ",7.7
756,Perfetti sconosciuti,2016,"Comedy, Drama            ",7.7
757,Kubo and the Two Strings,2016,"Animation, Action, Adventure            ",7.7
758,En man som heter Ove,2015,"Comedy, Drama, Romance            ",7.7
759,The Breadwinner,2017,"Animation, Drama, Family            ",7.7
760,Omoide no Marnie,2014,"Animation, Drama, Family            ",7.7
761,The Theory of Everything,2014,"Biography, Drama, Romance            ",7.7
762,Kingsman: The Secret Service,2014,"Action, Adventure, Comedy            ",7.7
763,The Fault in Our Stars,2014,"Drama, Romance            ",7.7
764,Me and Earl and the Dying Girl,2015,"Comedy, Drama, Romance            ",7.7
765,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama            ",7.7
766,Le passé,2013,"Drama, Mystery            ",7.7
767,La grande bellezza,2013,Drama            ,7.7
768,Ma vie de Courgette,2016,"Animation, Comedy, Drama            ",7.7
769,La vie d'Adèle,2013,"Drama, Romance            ",7.7
770,The Broken Circle Breakdown,2012,"Drama, Music, Romance            ",7.7
771,Kaze tachinu,2013,"Animation, Biography, Drama            ",7.7
772,Toy Story 4,2019,"Animation, Adventure, Comedy            ",7.7
773,Nebraska,2013,"Adventure, Comedy, Drama            ",7.7
774,Wreck-It Ralph,2012,"Animation, Adventure, Comedy            ",7.7
775,Le Petit Prince,2015,"Animation, Adventure, Drama            ",7.7
776,Detachment,2011,Drama            ,7.7
777,Midnight in Paris,2011,"Comedy, Fantasy, Romance            ",7.7
778,Kokuhaku,2010,"Drama, Thriller            ",7.7
779,Ajeossi,2010,"Action, Crime, Drama            ",7.7
780,The Lego Movie,2014,"Animation, Action, Adventure            ",7.7
781,Gravity,2013,"Drama, Sci-Fi, Thriller            ",7.7
782,Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi            ",7.7
783,Beasts of No Nation,2015,"Drama, War            ",7.7
784,X: First Class,2011,"Action, Adventure, Sci-Fi            ",7.7
785,The Hangover,2009,Comedy            ,7.7
786,The Trial of the Chicago 7,2020,"Drama, History, Thriller            ",7.7
787,Silver Linings Playbook,2012,"Comedy, Drama, Romance            ",7.7
788,Druk,2020,"Comedy, Drama            ",7.7
789,Argo,2012,"Biography, Drama, Thriller            ",7.7
790,(500) Days of Summer,2009,"Comedy, Drama, Romance            ",7.7
791,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy            ",7.7
792,The Boy in the Striped Pajamas,2008,"Drama, War            ",7.7
793,Auf der anderen Seite,2007,Drama            ,7.7
794,Frost/Nixon,2008,"Biography, Drama, History            ",7.7
795,Papurika,2006,"Animation, Drama, Fantasy            ",7.7
796,Flipped,I 2010,"Comedy, Drama, Romance            ",7.7
797,Toki o kakeru shôjo,2006,"Animation, Adventure, Comedy            ",7.7
798,This Is England,2006,"Crime, Drama            ",7.7
799,Ex Machina,2014,"Drama, Sci-Fi, Thriller            ",7.7
800,Efter brylluppet,2006,Drama            ,7.7
801,Zodiac,2007,"Crime, Drama, Mystery            ",7.7
802,Lucky Number Slevin,2006,"Crime, Drama, Thriller            ",7.7
803,Joyeux Noël,2005,"Drama, History, Music            ",7.7
804,Adams æbler,2005,"Comedy, Crime, Drama            ",7.7
805,Tangled,2010,"Animation, Adventure, Comedy            ",7.7
806,Zwartboek,2006,"Drama, Thriller, War            ",7.7
807,Brokeback Mountain,2005,"Drama, Romance            ",7.7
808,3:10 to Yuma,2007,"Action, Crime, Drama            ",7.7
809,Kung fu,2004,"Action, Comedy, Fantasy            ",7.7
810,The Bourne Supremacy,2004,"Action, Mystery, Thriller            ",7.7
811,The Machinist,2004,"Drama, Thriller            ",7.7
812,Ray,I 2004,"Biography, Drama, Music            ",7.7
813,Ondskan,2003,Drama            ,7.7
814,Lost in Translation,2003,"Comedy, Drama            ",7.7
815,Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy            ",7.7
816,Man on Fire,2004,"Action, Crime, Drama            ",7.7
817,Coraline,2009,"Animation, Drama, Family            ",7.7
818,The Magdalene Sisters,2002,Drama            ,7.7
819,Finding Neverland,2004,"Biography, Drama, Family            ",7.7
820,Good Bye Lenin!,2003,"Comedy, Drama, Romance            ",7.7
821,In America,2002,Drama            ,7.7
822,Les triplettes de Belleville,2003,"Animation, Comedy, Drama            ",7.7
823,Adaptation.,2002,"Comedy, Drama            ",7.7
824,Black Hawk Down,2001,"Action, Drama, History            ",7.7
825,Road to Perdition,2002,"Crime, Drama, Thriller            ",7.7
826,Das Experiment,2001,"Drama, Thriller            ",7.7
827,Billy Elliot,2000,"Drama, Music            ",7.7
828,Hedwig and the Angry Inch,2001,"Comedy, Drama, Music            ",7.7
829,The Count of Monte Cristo,2002,"Action, Adventure, Drama            ",7.7
830,Y tu mamá también,2001,Drama            ,7.7
831,Waking Life,2001,"Animation, Drama, Fantasy            ",7.7
832,Ocean's Eleven,2001,"Crime, Thriller            ",7.7
833,"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime            ",7.7
834,Minority Report,2002,"Action, Crime, Mystery            ",7.7
835,"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy            ",7.7
836,Office Space,1999,Comedy            ,7.7
837,Happiness,1998,"Comedy, Drama            ",7.7
838,The Boondock Saints,1999,"Action, Thriller            ",7.7
839,Training Day,2001,"Action, Crime, Drama            ",7.7
840,Lola rennt,1998,"Action, Crime, Thriller            ",7.7
841,Abre los ojos,1997,"Drama, Mystery, Sci-Fi            ",7.7
842,Ta'm e guilass,1997,Drama            ,7.7
843,As Good as It Gets,1997,"Comedy, Drama, Romance            ",7.7
844,Hana-bi,1997,"Crime, Drama, Romance            ",7.7
845,The Game,1997,"Drama, Mystery, Thriller            ",7.7
846,Donnie Brasco,1997,"Biography, Crime, Drama            ",7.7
847,Chun gwong cha sit,1997,"Drama, Romance            ",7.7
848,Primal Fear,1996,"Crime, Drama, Mystery            ",7.7
849,Sense and Sensibility,1995,"Drama, Romance            ",7.7
850,Apollo 13,I 1995,"Adventure, Drama, History            ",7.7
851,Il postino,1994,"Biography, Comedy, Drama            ",7.7
852,Clerks,1994,Comedy            ,7.7
853,What's Eating Gilbert Grape,1993,Drama            ,7.7
854,Short Cuts,1993,"Comedy, Drama            ",7.7
855,Philadelphia,1993,Drama            ,7.7
856,Naked,1993,"Comedy, Drama            ",7.7
857,The Muppet Christmas Carol,1992,"Comedy, Drama, Family            ",7.7
858,Malcolm X,1992,"Biography, Drama, History            ",7.7
859,The Last of the Mohicans,1992,"Action, Adventure, Drama            ",7.7
860,Lat sau san taam,1992,"Action, Crime, Thriller            ",7.7
861,Kurenai no buta,1992,"Animation, Adventure, Comedy            ",7.7
862,Glengarry Glen Ross,1992,"Crime, Drama, Mystery            ",7.7
863,A Few Good Men,1992,"Drama, Thriller            ",7.7
864,Night on Earth,1991,"Comedy, Drama            ",7.7
865,Fried Green Tomatoes,1991,Drama            ,7.7
866,La double vie de Véronique,1991,"Drama, Fantasy, Music            ",7.7
867,Yume,1990,"Drama, Fantasy            ",7.7
868,Miller's Crossing,1990,"Crime, Drama, Thriller            ",7.7
869,Home Alone,1990,"Comedy, Family            ",7.7
870,When Harry Met Sally...,1989,"Comedy, Drama, Romance            ",7.7
871,Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy            ",7.7
872,Spoorloos,1988,"Mystery, Thriller            ",7.7
873,The Last Emperor,1987,"Biography, Drama, History            ",7.7
874,Evil Dead II,1987,"Comedy, Horror            ",7.7
875,Empire of the Sun,1987,"Drama, History, War            ",7.7
876,Der Name der Rose,1986,"Drama, Mystery, Thriller            ",7.7
877,Down by Law,1986,"Comedy, Crime, Drama            ",7.7
