,Name of Movie,Year of Release,Genre,Rating
101,Vikram Vedha,2017,"Action, Crime, Drama            ",8.3
102,Dangal,2016,"Action, Biography, Drama            ",8.3
103,Drishyam,2013,"Crime, Drama, Thriller            ",8.3
104,Jagten,2012,Drama            ,8.3
105,Jodaeiye Nader az Simin,2011,Drama            ,8.3
106,Incendies,2010,"Drama, Mystery            ",8.3
107,Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy            ",8.3
108,Up,2009,"Animation, Adventure, Comedy            ",8.3
109,Toy Story 3,2010,"Animation, Adventure, Comedy            ",8.3
110,Inglourious Basterds,2009,"Adventure, Drama, War            ",8.3
111,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi            ",8.3
112,Le fabuleux destin d'Amélie Poulain,2001,"Comedy, Romance            ",8.3
113,Requiem for a Dream,2000,Drama            ,8.3
114,Good Will Hunting,1997,"Drama, Romance            ",8.3
115,Toy Story,1995,"Animation, Adventure, Comedy            ",8.3
116,Heat,1995,"Action, Crime, Drama            ",8.3
117,Reservoir Dogs,1992,"Crime, Thriller            ",8.3
118,Full Metal Jacket,1987,"Drama, War            ",8.3
119,Once Upon a Time in America,1984,"Crime, Drama            ",8.3
120,Scarface,1983,"Crime, Drama            ",8.3
121,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy            ",8.3
122,The Sting,1973,"Comedy, Crime, Drama            ",8.3
123,A Clockwork Orange,1971,"Crime, Sci-Fi            ",8.3
124,2001: A Space Odyssey,1968,"Adventure, Sci-Fi            ",8.3
125,To Kill a Mockingbird,1962,"Crime, Drama            ",8.3
126,Lawrence of Arabia,1962,"Adventure, Biography, Drama            ",8.3
127,Judgment at Nuremberg,1961,"Drama, War            ",8.3
128,The Apartment,1960,"Comedy, Drama, Romance            ",8.3
129,North by Northwest,1959,"Action, Adventure, Mystery            ",8.3
130,Vertigo,1958,"Mystery, Romance, Thriller            ",8.3
131,Pather Panchali,1955,Drama            ,8.3
132,Singin' in the Rain,1952,"Comedy, Musical, Romance            ",8.3
133,Ikiru,1952,Drama            ,8.3
134,Ladri di biciclette,1948,Drama            ,8.3
135,Double Indemnity,1944,"Crime, Drama, Film-Noir            ",8.3
136,Citizen Kane,1941,"Drama, Mystery            ",8.3
137,M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller            ",8.3
138,Metropolis,1927,"Drama, Sci-Fi            ",8.3
139,The Kid,1921,"Comedy, Drama, Family            ",8.3
140,Chhichhore,2019,"Comedy, Drama, Romance            ",8.2
141,1917,2019,"Action, Drama, War            ",8.2
142,Uri: The Surgical Strike,2019,"Action, Drama, History            ",8.2
143,Tumbbad,2018,"Drama, Fantasy, Horror            ",8.2
144,Andhadhun,2018,"Comedy, Crime, Music            ",8.2
145,K.G.F: Chapter 1,2018,"Action, Crime, Drama            ",8.2
146,Green Book,2018,"Biography, Comedy, Drama            ",8.2
147,Baahubali 2: The Conclusion,2017,"Action, Drama            ",8.2
148,Drishyam,2015,"Crime, Drama, Mystery            ",8.2
149,Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport            ",8.2
150,Inside Out,I 2015,"Animation, Adventure, Comedy            ",8.2
151,Gangs of Wasseypur,2012,"Action, Comedy, Crime            ",8.2
152,Paan Singh Tomar,2012,"Action, Biography, Crime            ",8.2
153,Zindagi Na Milegi Dobara,2011,"Comedy, Drama, Musical            ",8.2
154,El secreto de sus ojos,2009,"Drama, Mystery, Romance            ",8.2
155,Warrior,2011,"Action, Drama, Sport            ",8.2
156,Shutter Island,2010,"Mystery, Thriller            ",8.2
157,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,"Animation, Action, Adventure            ",8.2
158,Miracle in Cell No. 7,2019,Drama            ,8.2
159,The Father,I 2020,"Drama, Mystery            ",8.2
160,The Wolf of Wall Street,2013,"Biography, Comedy, Crime            ",8.2
161,No Country for Old Men,2007,"Crime, Drama, Thriller            ",8.2
162,Babam ve Oglum,2005,"Drama, Family            ",8.2
163,There Will Be Blood,2007,Drama            ,8.2
164,Pan's Labyrinth,2006,"Drama, Fantasy, War            ",8.2
165,V for Vendetta,2005,"Action, Drama, Sci-Fi            ",8.2
166,Batman Begins,2005,"Action, Crime, Drama            ",8.2
167,"Swades: We, the People",2004,"Drama, Musical            ",8.2
168,Der Untergang,2004,"Biography, Drama, History            ",8.2
169,Hauru no ugoku shiro,2004,"Animation, Adventure, Family            ",8.2
170,A Beautiful Mind,2001,"Biography, Drama            ",8.2
171,Kill Bill: Vol. 1,2003,"Action, Crime, Drama            ",8.2
172,Finding Nemo,2003,"Animation, Adventure, Comedy            ",8.2
173,Snatch,2000,"Comedy, Crime            ",8.2
174,The Sixth Sense,1999,"Drama, Mystery, Thriller            ",8.2
175,"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime            ",8.2
176,The Truman Show,1998,"Comedy, Drama            ",8.2
177,L.A. Confidential,1997,"Crime, Drama, Mystery            ",8.2
178,Bacheha-Ye aseman,1997,"Drama, Family, Sport            ",8.2
179,Casino,1995,"Crime, Drama            ",8.2
180,Jurassic Park,1993,"Action, Adventure, Sci-Fi            ",8.2
181,Unforgiven,1992,"Drama, Western            ",8.2
182,Indiana Jones and the Last Crusade,1989,"Action, Adventure            ",8.2
183,Die Hard,1988,"Action, Thriller            ",8.2
184,Ran,1985,"Action, Drama, War            ",8.2
185,The Thing,1982,"Horror, Mystery, Sci-Fi            ",8.2
186,Raging Bull,1980,"Biography, Drama, Sport            ",8.2
187,The Elephant Man,1980,"Biography, Drama            ",8.2
188,Taxi Driver,1976,"Crime, Drama            ",8.2
189,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy            ",8.2
190,Dersu Uzala,1975,"Adventure, Biography, Drama            ",8.2
191,Chinatown,1974,"Drama, Mystery, Thriller            ",8.2
192,Z,1969,"Crime, Drama, Thriller            ",8.2
193,Per qualche dollaro in più,1965,Western            ,8.2
194,The Great Escape,1963,"Adventure, Drama, History            ",8.2
195,Yôjinbô,1961,"Action, Drama, Thriller            ",8.2
196,Some Like It Hot,1959,"Comedy, Music, Romance            ",8.2
197,The Bridge on the River Kwai,1957,"Adventure, Drama, War            ",8.2
198,Dial M for Murder,1954,"Crime, Thriller            ",8.2
199,Tôkyô monogatari,1953,Drama            ,8.2
200,Le salaire de la peur,1953,"Adventure, Drama, Thriller            ",8.2
201,Umberto D.,1952,Drama            ,8.2
202,Rashômon,1950,"Crime, Drama, Mystery            ",8.2
203,All About Eve,1950,Drama            ,8.2
204,The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western            ",8.2
205,To Be or Not to Be,1942,"Comedy, Romance, War            ",8.2
206,Gone with the Wind,1939,"Drama, Romance, War            ",8.2
207,La passion de Jeanne d'Arc,1928,"Biography, Drama, History            ",8.2
208,The General,1926,"Action, Adventure, Comedy            ",8.2
209,The Gold Rush,1925,"Adventure, Comedy, Drama            ",8.2
210,Sherlock Jr.,1924,"Action, Comedy, Romance            ",8.2
211,Portrait de la jeune fille en feu,2019,"Drama, Romance            ",8.1
212,Everything Everywhere All at Once,2022,"Action, Adventure, Comedy            ",8.1
213,Pink,III 2016,"Crime, Drama, Thriller            ",8.1
214,Koe no katachi,2016,"Animation, Drama            ",8.1
215,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama            ",8.1
216,Talvar,2015,"Crime, Drama, Mystery            ",8.1
217,Klaus,2019,"Animation, Adventure, Comedy            ",8.1
218,Masaan,2015,Drama            ,8.1
219,Ah-ga-ssi,2016,"Drama, Romance, Thriller            ",8.1
220,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy            ",8.1
221,Queen,2013,"Adventure, Comedy, Drama            ",8.1
222,Logan,2017,"Action, Drama, Sci-Fi            ",8.1
223,Room,I 2015,"Drama, Thriller            ",8.1
224,Relatos salvajes,2014,"Comedy, Drama, Thriller            ",8.1
225,Mandariinid,2013,"Drama, War            ",8.1
226,Kis Uykusu,2014,Drama            ,8.1
227,PK,2014,"Comedy, Drama, Sci-Fi            ",8.1
228,OMG: Oh My God!,2012,"Comedy, Drama, Fantasy            ",8.1
229,The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime            ",8.1
